crop,moisture,temp,pump
cotton,638,16,1
cotton,522,18,1
cotton,741,22,1
cotton,798,32,1
cotton,690,28,1
cotton,558,23,1
cotton,578,12,1
cotton,673,35,1
cotton,642,45,1
cotton,723,11,1
cotton,671,23,1
cotton,758,34,1
cotton,507,45,1
cotton,586,33,1
cotton,703,45,1
cotton,716,25,1
cotton,724,11,1
cotton,828,41,1
cotton,633,23,1
cotton,783,18,1
cotton,635,36,1
cotton,525,33,1
cotton,636,24,1
cotton,813,15,1
cotton,736,44,1
cotton,833,13,1
cotton,808,29,1
cotton,714,14,1
cotton,806,28,1
cotton,681,31,1
cotton,661,35,1
cotton,546,32,1
cotton,759,10,1
cotton,803,21,1
cotton,670,22,1
cotton,796,21,1
cotton,665,32,1
cotton,687,11,1
cotton,573,13,1
cotton,812,38,1
cotton,698,45,1
cotton,675,39,1
cotton,700,38,1
cotton,749,38,1
cotton,537,44,1
cotton,748,27,1
cotton,824,37,1
cotton,839,29,1
cotton,740,31,1
cotton,533,42,1
cotton,775,40,1
cotton,663,24,1
cotton,639,14,1
cotton,612,31,1
cotton,580,14,1
cotton,632,14,1
cotton,535,17,1
cotton,818,15,1
cotton,503,44,1
cotton,788,12,1
cotton,513,27,1
cotton,729,41,1
cotton,659,29,1
cotton,629,41,1
cotton,641,35,1
cotton,676,30,1
cotton,739,14,1
cotton,773,20,1
cotton,792,15,1
cotton,509,19,1
cotton,682,40,1
cotton,637,29,1
cotton,769,13,1
cotton,611,12,1
cotton,574,32,1
cotton,623,32,1
cotton,539,26,1
cotton,595,30,1
cotton,683,39,1
cotton,760,18,1
cotton,697,25,1
cotton,766,39,1
cotton,768,17,1
cotton,734,16,1
cotton,579,45,1
cotton,737,34,1
cotton,699,22,1
cotton,757,43,1
cotton,624,15,1
cotton,545,29,1
cotton,850,16,1
cotton,722,26,1
cotton,795,15,1
cotton,817,18,1
cotton,830,44,1
cotton,843,41,1
cotton,553,35,1
cotton,837,30,1
cotton,588,18,1
cotton,733,26,1
cotton,89,42,0
cotton,76,35,0
cotton,434,19,0
cotton,487,16,0
cotton,493,18,0
cotton,421,39,0
cotton,379,23,0
cotton,177,12,0
cotton,482,27,0
cotton,168,10,0
cotton,208,39,0
cotton,162,29,0
cotton,306,25,0
cotton,394,27,0
cotton,184,29,0
cotton,429,17,0
cotton,81,20,0
cotton,158,17,0
cotton,435,10,0
cotton,401,17,0
cotton,271,33,0
cotton,161,18,0
cotton,124,40,0
cotton,26,23,0
cotton,175,15,0
cotton,293,25,0
cotton,354,20,0
cotton,245,43,0
cotton,462,32,0
cotton,466,41,0
cotton,75,37,0
cotton,209,43,0
cotton,304,43,0
cotton,256,40,0
cotton,141,43,0
cotton,302,23,0
cotton,87,12,0
cotton,72,13,0
cotton,4,42,0
cotton,178,39,0
cotton,36,16,0
cotton,39,38,0
cotton,107,31,0
cotton,21,37,0
cotton,59,20,0
cotton,206,37,0
cotton,143,43,0
cotton,52,44,0
cotton,149,24,0
cotton,74,20,0
cotton,861,33,1
cotton,938,14,1
cotton,981,36,1
cotton,1019,37,1
cotton,876,40,1
cotton,1020,27,1
cotton,933,42,1
cotton,889,39,1
cotton,865,17,1
cotton,920,10,1
cotton,926,18,1
cotton,923,10,1
cotton,853,29,1
cotton,922,23,1
cotton,998,28,1
cotton,966,16,1
cotton,950,13,1
cotton,1001,36,1
cotton,930,18,1
cotton,999,30,1
cotton,873,44,1
cotton,969,39,1
cotton,881,26,1
cotton,896,42,1
cotton,857,20,1
cotton,1010,10,1
cotton,947,41,1
cotton,859,20,1
cotton,1005,43,1
cotton,937,28,1
cotton,893,39,1
cotton,872,10,1
cotton,878,29,1
cotton,883,40,1
cotton,888,44,1
cotton,1009,21,1
cotton,917,33,1
cotton,974,28,1
cotton,858,19,1
cotton,918,19,1
cotton,1021,22,1
cotton,986,36,1
cotton,968,17,1
cotton,1015,35,1
cotton,914,35,1
cotton,941,13,1
cotton,902,45,1
cotton,894,42,1
cotton,1022,45,1
cotton,979,10,1
